scenario,month,births,nvd_cases,cs_cases,enrolments_active,ma_share,cs_rate,total_receipts,noh_fee,medicare_fee,residual,antenatal_midwifery,inhosp_midwifery,midwifery_costs,mo_session_cost,mo_birth_cost,mo_cost,anaes_cost,ob_cores,ob_pool,clinician_costs,board_facility,total_costs,net_cashflow,cumulative_cash
base,1,0,0.0,0.0,0,0.2,0.42,0,0,0,0,0,0,0,0,0,0,0,2,10000,10000,0,10000,-10000,-10000
base,2,2,1.18,0.82,2,0.2273,0.4091,80000,12000,38944,29056,6000,1950,7950,2000,3075,5075,4091,2,17800,26966,7045,41961,-12905,-22905
base,3,5,3.01,1.99,4,0.2545,0.3982,210000,31500,102228,76272,15000,4965,19965,2000,7552,9552,9955,2,25600,45107,17477,82549,-6277,-29183
base,4,7,4.29,2.71,7,0.2818,0.3873,300000,45000,146040,108960,21000,7077,28077,2000,10384,12384,13555,2,37300,63239,24277,115593,-6633,-35816
base,5,9,5.61,3.39,9,0.3091,0.3764,390000,58500,189852,141648,27000,9261,36261,2000,13109,15109,16936,2,45100,77145,30968,144374,-2726,-38542
base,6,11,6.98,4.02,11,0.3364,0.3655,480000,72000,233664,174336,33000,11517,44517,2000,15724,17724,20100,2,52900,90724,37550,172792,1544,-36998
base,7,14,9.04,4.96,13,0.3636,0.3545,610000,91500,296948,221552,42000,14910,56910,2000,19635,21635,24818,2,60700,107153,47409,211472,10080,-26918
base,8,16,10.5,5.5,15,0.3909,0.3436,700000,105000,340760,254240,48000,17328,65328,2000,22008,24008,27491,2,68500,119999,53745,239072,15168,-11750
base,9,18,12.01,5.99,17,0.4182,0.3327,800000,120000,389440,290560,54000,19818,73818,2000,24273,26273,29945,2,76300,132518,59973,266309,24251,12501
base,10,20,13.56,6.44,20,0.4455,0.3218,890000,133500,433252,323248,60000,22380,82380,2000,26430,28430,32182,2,88000,148612,66091,297083,26165,38666
base,11,23,15.85,7.15,22,0.4727,0.3109,1030000,154500,501404,374096,69000,26151,95151,2000,29774,31774,35755,2,95800,163328,75377,333856,40240,78906
